"timestamp","measured_position","measured_position","measured_position","measured_position","measured_position","measured_position"
1628257084.85646,1.59589993953705,-2.87219077745547,2.67678785324097,-2.86036950746645,-1.57892448106875,-0.000299278889791
1628257084.85662,1.59589993953705,-2.87219077745547,2.67678785324097,-2.86036950746645,-1.57892448106875,-0.000299278889791
1628257084.86477,1.59592390060425,-2.87220269838442,2.67678785324097,-2.86036950746645,-1.57892448106875,-0.000287357960836
1628257084.87286,1.59589993953705,-2.87210685411562,2.67676401138306,-2.8603575865375,-1.57888871828188,-0.000287357960836
1628257084.88099,1.59587597846985,-2.87204677263369,2.67669200897217,-2.86032134691347,-1.57885247865786,-0.000299278889791
1628257084.88896,1.59570825099945,-2.87172347704043,2.676344871521,-2.86032134691347,-1.57873231569399,-0.000299278889791
1628257084.89721,1.59548056125641,-2.8712800184833,2.67572236061096,-2.86030942598452,-1.57863647142519,-0.000299278889791
1628257084.90522,1.59516930580139,-2.87064582506289,2.67493224143982,-2.86034518877138,-1.57844478288759,-0.000311199818746
1628257084.91315,1.59484577178955,-2.8697717825519,2.6739387512207,-2.86032134691347,-1.57818061510195,-0.000275437031881
1628257084.92129,1.59448659420013,-2.86880141893496,2.67276573181152,-2.86029750505556,-1.57780915895571,-0.00032359758486
1628257084.92929,1.59398365020752,-2.86753160158266,2.67129325866699,-2.86027366319765,-1.5775092283832,-0.00032359758486
1628257084.93751,1.59340870380402,-2.8661907354938,2.6696412563324,-2.86024934450258,-1.57706529298891,-0.000287357960836
1628257084.9454,1.59270203113556,-2.86466962495913,2.6678454875946,-2.86016542116274,-1.57659799257387,-0.000299278889791
1628257084.95358,1.59195935726166,-2.86290914217104,2.66581034660339,-2.86010581651797,-1.57601005235781,-0.000311199818746
1628257084.96154,1.5911568403244,-2.86113626161684,2.66365575790405,-2.86012965837588,-1.57548267046084,-0.000299278889791
1628257084.9698,1.59031903743744,-2.85929185548891,2.66148900985718,-2.86000997224917,-1.57479888597597,-0.000311199818746
1628257084.97772,1.58955240249634,-2.85754377046694,2.65957379341125,-2.85999805132021,-1.57428342500796,-0.000275437031881
1628257084.98597,1.58879780769348,-2.85583049455752,2.65764617919922,-2.85974628130068,-1.57362395921816,-0.000263516102926
1628257084.99381,1.58803117275238,-2.85411864915957,2.65570688247681,-2.85965043703188,-1.57308417955507,-0.00032359758486
1628257085.0019,1.58725261688232,-2.85245353380312,2.65364789962769,-2.85959035554995,-1.57254439989199,-0.000275437031881
1628257085.01,1.58646237850189,-2.85078889528383,2.65152883529663,-2.85949451128115,-1.57201654115786,-0.000251595173971
1628257085.01814,1.58579206466675,-2.84908801714052,2.6495418548584,-2.85943442979922,-1.57140475908388,-0.00032359758486
1628257085.02614,1.58502542972565,-2.8473632971393,2.64756655693054,-2.85925466219057,-1.57080537477602,-0.000311199818746
1628257085.03446,1.58428275585175,-2.84567529359926,2.64553165435791,-2.85924274126162,-1.5703013578998,-0.00032359758486
1628257085.04236,1.58357608318329,-2.84398633638491,2.6435444355011,-2.85919458070864,-1.56971389452089,-0.000287357960836
1628257085.05064,1.5828218460083,-2.8422854582416,2.64148545265198,-2.8589189688312,-1.56912643114199,-0.000251595173971
1628257085.05854,1.5820552110672,-2.84058505693545,2.63941431045532,-2.85899097124209,-1.5686710516559,-0.00032359758486
1628257085.06665,1.58125257492065,-2.83886033693422,2.63734364509583,-2.85885888734926,-1.56805879274477,-0.00032359758486
1628257085.07474,1.58051037788391,-2.83709985414614,2.6353325843811,-2.85877496400942,-1.56747132936587,-0.000299278889791
1628257085.08287,1.57972013950348,-2.83538705507387,2.63339352607727,-2.85876304308047,-1.56693202653994,-0.000287357960836
1628257085.09085,1.57895350456238,-2.83367425600161,2.63141798973083,-2.85861951509585,-1.56641656557192,-0.000299278889791
1628257085.09897,1.57822287082672,-2.83200961748232,2.62951469421387,-2.85854751268496,-1.56588870683779,-0.000299278889791
1628257085.10706,1.57742023468018,-2.8302848974811,2.62750363349915,-2.85839158693422,-1.56537276903261,-0.000287357960836
1628257085.11509,1.57667768001556,-2.82856017747988,2.62546849250793,-2.85824758211245,-1.56480914751162,-0.000287357960836
1628257085.12313,1.57593536376953,-2.82682401338686,2.62350535392761,-2.85822374025454,-1.56423360506167,-0.000299278889791
1628257085.13136,1.5751930475235,-2.82509881654848,2.62155365943909,-2.8580678145038,-1.56366998354067,-0.000287357960836
1628257085.13932,1.57441449165344,-2.82341033617129,2.61954259872437,-2.85799628893007,-1.56317836443056,-0.000299278889791
1628257085.14738,1.57364785671234,-2.82172185579409,2.61751961708069,-2.85790044466128,-1.56269866624941,-0.000335518513815
1628257085.15548,1.57291722297668,-2.82004529634585,2.61547255516052,-2.8578522841083,-1.56209880510439,-0.000287357960836
1628257085.16358,1.5721869468689,-2.81840402284731,2.61342549324036,-2.85778028169741,-1.56160718599428,-0.000287357960836
1628257085.17164,1.571444272995,-2.81666785875429,2.61137843132019,-2.85758859315981,-1.56103164354433,-0.000287357960836
1628257085.17963,1.57070195674896,-2.81496698061098,2.60943913459778,-2.8575647513019,-1.5605037848102,-0.000287357960836
1628257085.1878,1.57000732421875,-2.81330186525454,2.60743999481201,-2.8573730627643,-1.55996448198427,-0.000263516102926
1628257085.19584,1.56924068927765,-2.81158954301943,2.60538101196289,-2.85730106035341,-1.55937654176821,-0.000311199818746
1628257085.20387,1.56852197647095,-2.80991298357119,2.60332202911377,-2.85724050203432,-1.55886108080019,-0.000311199818746
1628257085.21197,1.56777966022491,-2.80830747285952,2.60131096839905,-2.85712081590761,-1.55834514299502,-0.000287357960836
